type,Province Name,Province Code,City Name,City Code,Area Name,Area Code
区县,江苏省（苏）,320000,镇江市,321100,京口区,321102
区县,江苏省（苏）,320000,镇江市,321100,润州区,321111
区县,江苏省（苏）,320000,镇江市,321100,丹徒区,321112
区县,江苏省（苏）,320000,镇江市,321100,丹阳市,321181
区县,江苏省（苏）,320000,镇江市,321100,扬中市,321182
区县,江苏省（苏）,320000,镇江市,321100,句容市,321183
城市,江苏省（苏）,320000,泰州市,321200
区县,江苏省（苏）,320000,泰州市,321200,海陵区,321202
区县,江苏省（苏）,320000,泰州市,321200,高港区,321203
区县,江苏省（苏）,320000,泰州市,321200,姜堰区,321204
区县,江苏省（苏）,320000,泰州市,321200,兴化市,321281
区县,江苏省（苏）,320000,泰州市,321200,靖江市,321282
区县,江苏省（苏）,320000,泰州市,321200,泰兴市,321283
城市,江苏省（苏）,320000,宿迁市,321300
区县,江苏省（苏）,320000,宿迁市,321300,宿城区,321302
区县,江苏省（苏）,320000,宿迁市,321300,宿豫区,321311
区县,江苏省（苏）,320000,宿迁市,321300,沭阳县,321322
区县,江苏省（苏）,320000,宿迁市,321300,泗阳县,321323
区县,江苏省（苏）,320000,宿迁市,321300,泗洪县,321324
省份,浙江省（浙）,330000
城市,浙江省（浙）,330000,杭州市,330100
区县,浙江省（浙）,330000,杭州市,330100,上城区,330102
区县,浙江省（浙）,330000,杭州市,330100,拱墅区,330105
区县,浙江省（浙）,330000,杭州市,330100,西湖区,330106
区县,浙江省（浙）,330000,杭州市,330100,滨江区,330108
区县,浙江省（浙）,330000,杭州市,330100,萧山区,330109
区县,浙江省（浙）,330000,杭州市,330100,余杭区,330110
区县,浙江省（浙）,330000,杭州市,330100,富阳区,330111
区县,浙江省（浙）,330000,杭州市,330100,临安区,330112
区县,浙江省（浙）,330000,杭州市,330100,临平区,330113
区县,浙江省（浙）,330000,杭州市,330100,钱塘区,330114
区县,浙江省（浙）,330000,杭州市,330100,建德市,330182
区县,浙江省（浙）,330000,杭州市,330100,桐庐县,330122
